State,Data
NY,"{'1000-9999': 0.36212323560961446, '10000-14999': 0.10742010382073973, '15000-19999': 0.0750671090800911, '20000-24999': 0.0750671090800911, '25000-29999': 0.06446667643657016, '30000-34999': 0.052222871611809434, '35000-39999': 0.044611051802925336, '40000-44999': 0.038651466774693874, '45000-49999': 0.03689376468145699, '50000-59999': 0.028654797569295187, '60000-74999': 0.02678433766350128, '75000-99999': 0.0206841371008719, '100000-124999': 0.017405352088735726, '125000-149999': 0.014553102371927813, '150000-199999': 0.013294497664560841, '200000-10000000': 0.0010719160365798928}"
NC,"{'1000-9999': 0.36521661503250935, '10000-14999': 0.104296590346302, '15000-19999': 0.07430787369166231, '20000-24999': 0.07430787369166231, '25000-29999': 0.06230907753631338, '30000-34999': 0.04995208664144805, '35000-39999': 0.04292571624519355, '40000-44999': 0.03717575040473163, '45000-49999': 0.03442343379672357, '50000-59999': 0.02669143284597968, '60000-74999': 0.023761841646081444, '75000-99999': 0.018347811030504424, '100000-124999': 0.015857516041926346, '125000-149999': 0.013048112508214006, '150000-199999': 0.012166778913714564, '200000-10000000': 0.0010447275164455632}"
ND,"{'1000-9999': 0.22283916993182765, '10000-14999': 0.06490369053577955, '15000-19999': 0.04631214875294892, '20000-24999': 0.04631214875294892, '25000-29999': 0.04196280551196807, '30000-34999': 0.03377940445156262, '35000-39999': 0.028417780735696715, '40000-44999': 0.025074764599252793, '45000-49999': 0.022164858948161704, '50000-59999': 0.0174390077266172, '60000-74999': 0.016336728888952413, '75000-99999': 0.012554050740112928, '100000-124999': 0.011234251786616856, '125000-149999': 0.009131021213242772, '150000-199999': 0.008717341282128024, '200000-10000000': 0.0005551970399005165}"
OH,"{'1000-9999': 0.2906544422641102, '10000-14999': 0.08070346096023097, '15000-19999': 0.05910701473992036, '20000-24999': 0.05910701473992036, '25000-29999': 0.05241298115336131, '30000-34999': 0.04244170583072054, '35000-39999': 0.03662809167540716, '40000-44999': 0.0317090655800598, '45000-49999': 0.02861972382844874, '50000-59999': 0.02196476403865507, '60000-74999': 0.020692467269435313, '75000-99999': 0.015885450189389545, '100000-124999': 0.014288249155085095, '125000-149999': 0.011542667665216949, '150000-199999': 0.010798622703249943, '200000-10000000': 0.0006911590509064932}"
OK,"{'1000-9999': 0.292007302549186, '10000-14999': 0.10995388334145918, '15000-19999': 0.07705762503443057, '20000-24999': 0.07705762503443057, '25000-29999': 0.06522970946305742, '30000-34999': 0.05368305261511083, '35000-39999': 0.045422889641682146, '40000-44999': 0.03993724075720267, '45000-49999': 0.037299101950781476, '50000-59999': 0.0288383784301694, '60000-74999': 0.02522667096619064, '75000-99999': 0.019330276078789847, '100000-124999': 0.017002509583607314, '125000-149999': 0.014108149977158296, '150000-199999': 0.012589363289690554, '200000-10000000': 0.0009354874778342655}"
OR,"{'1000-9999': 0.22900543792035302, '10000-14999': 0.05841122303669447, '15000-19999': 0.042813356900501386, '20000-24999': 0.042813356900501386, '25000-29999': 0.03956902281376453, '30000-34999': 0.031101984007240742, '35000-39999': 0.026837638089545552, '40000-44999': 0.022966355956356217, '45000-49999': 0.022017642117126507, '50000-59999': 0.016834372445518105, '60000-74999': 0.015183915063009751, '75000-99999': 0.011738854307725114, '100000-124999': 0.00996790895138597, '125000-149999': 0.008081996751102553, '150000-199999': 0.007014896361914038, '200000-10000000': 0.0005359562043349448}"
PA,"{'1000-9999': 0.20082749057606833, '10000-14999': 0.07981775296618308, '15000-19999': 0.054661395014749176, '20000-24999': 0.054661395014749176, '25000-29999': 0.04560173563543119, '30000-34999': 0.038128833599159535, '35000-39999': 0.03203784505394899, '40000-44999': 0.027961297598395083, '45000-49999': 0.027011206740637825, '50000-59999': 0.020418574260032834, '60000-74999': 0.019503295511988275, '75000-99999': 0.014927369446957975, '100000-124999': 0.01276882345716634, '125000-149999': 0.01036769765881219, '150000-199999': 0.009576304291414326, '200000-10000000': 0.0006757594192653673}"
RI,"{'1000-9999': 0.37762713490146904, '10000-14999': 0.1133645765696035, '15000-19999': 0.08135876212031055, '20000-24999': 0.08135876212031055, '25000-29999': 0.06810543071438424, '30000-34999': 0.05565954264073792, '35000-39999': 0.04607605146232625, '40000-44999': 0.040600937887059076, '45000-49999': 0.03812504632971308, '50000-59999': 0.030638127051114634, '60000-74999': 0.02826094110838193, '75000-99999': 0.021903892110240585, '100000-124999': 0.018500162277389372, '125000-149999': 0.015139251157158876, '150000-199999': 0.014024549312222488, '200000-10000000': 0.0008879715106642729}"
SC,"{'1000-9999': 0.3571034948462351, '10000-14999': 0.12066315832789065, '15000-19999': 0.08698736449797535, '20000-24999': 0.08698736449797535, '25000-29999': 0.0714492968326173, '30000-34999': 0.0581088008867893, '35000-39999': 0.04981025560402497, '40000-44999': 0.04365057337414756, '45000-49999': 0.04097611203700893, '50000-59999': 0.03153695762054284, '60000-74999': 0.027583434438064772, '75000-99999': 0.021316804835567995, '100000-124999': 0.01876948143738189, '125000-149999': 0.015176405028132072, '150000-199999': 0.01425205032656877, '200000-10000000': 0.0012171122745730473}"
SD,"{'1000-9999': 0.22412490041523955, '10000-14999': 0.07108636498369493, '15000-19999': 0.051663684687604614, '20000-24999': 0.051663684687604614, '25000-29999': 0.0465705781199662, '30000-34999': 0.03784344885619037, '35000-39999': 0.03131134458468458, '40000-44999': 0.027437654426369463, '45000-49999': 0.024600116868628195, '50000-59999': 0.01923155054374051, '60000-74999': 0.01821068146877457, '75000-99999': 0.01393161266739439, '100000-124999': 0.012268658441743812, '125000-149999': 0.009984863711103732, '150000-199999': 0.00941588574859025, '200000-10000000': 0.0004079404934330408}"
TN,"{'1000-9999': 0.3172177040939589, '10000-14999': 0.10775236785658658, '15000-19999': 0.07879032869937402, '20000-24999': 0.07879032869937402, '25000-29999': 0.06478928364504712, '30000-34999': 0.0540731018219109, '35000-39999': 0.04488867259952728, '40000-44999': 0.03873372295415896, '45000-49999': 0.0365843188646703, '50000-59999': 0.028399150967862122, '60000-74999': 0.024965590430089765, '75000-99999': 0.019262290755837526, '100000-124999': 0.01693130635337119, '125000-149999': 0.013736535034894, '150000-199999': 0.012937133421112993, '200000-10000000': 0.0010660705945251684}"
TX,"{'1000-9999': 0.35965133204972544, '10000-14999': 0.12443248313786552, '15000-19999': 0.0856680752578989, '20000-24999': 0.0856680752578989, '25000-29999': 0.07480835686725118, '30000-34999': 0.05996901724833249, '35000-39999': 0.05042397076560329, '40000-44999': 0.043907601023264936, '45000-49999': 0.041518772291539614, '50000-59999': 0.03206545315303477, '60000-74999': 0.028050462009619696, '75000-99999': 0.02155662162066299, '100000-124999': 0.018821120589989446, '125000-149999': 0.01536313563837419, '150000-199999': 0.014497741710265643, '200000-10000000': 0.001077274572219252}"
UT,"{'1000-9999': 0.17502998845327913, '10000-14999': 0.05731236539363172, '15000-19999': 0.03933294414359979, '20000-24999': 0.03933294414359979, '25000-29999': 0.035381247113465804, '30000-34999': 0.02991749023508717, '35000-39999': 0.02479730898694913, '40000-44999': 0.021825378452126162, '45000-49999': 0.02087506808352082, '50000-59999': 0.01635294653692742, '60000-74999': 0.014369136159987148, '75000-99999': 0.011107471078464754, '100000-124999': 0.009516178938522923, '125000-149999': 0.007709882937714156, '150000-199999': 0.006753237790865245, '200000-10000000': 0.0005140269104702502}"
VT,"{'1000-9999': 0.34868964979140177, '10000-14999': 0.09658874214819982, '15000-19999': 0.06845751487968263, '20000-24999': 0.06845751487968263, '25000-29999': 0.05724385019895169, '30000-34999': 0.04741702885218396, '35000-39999': 0.039739705663675184, '40000-44999': 0.03488290148145903, '45000-49999': 0.03279454084209638, '50000-59999': 0.025761373952489803, '60000-74999': 0.024304969056216322, '75000-99999': 0.018697031559114733, '100000-124999': 0.016167075557867443, '125000-149999': 0.012933702282466118, '150000-199999': 0.011846524293797603, '200000-10000000': 0.0008132314864687534}"
VA,"{'1000-9999': 0.3485767690262685, '10000-14999': 0.11815278897538345, '15000-19999': 0.0852678346586698, '20000-24999': 0.0852678346586698, '25000-29999': 0.06995162925914063, '30000-34999': 0.05841058406273669, '35000-39999': 0.04849841055733625, '40000-44999': 0.042369486213321185, '45000-49999': 0.03974931667351296, '50000-59999': 0.030975966817173472, '60000-74999': 0.027159861062511215, '75000-99999': 0.020927524993033308, '100000-124999': 0.018315085353948123, '125000-149999': 0.014938935141184335, '150000-199999': 0.014115689456744544, '200000-10000000': 0.0010099755309245955}"
