State,Data
SC,"{'1000-9999': 0.7070773703857469, '10000-14999': 0.6606545105224992, '15000-19999': 0.6600783525945051, '20000-24999': 0.6600783525945051, '25000-29999': 0.6128610603966518, '30000-34999': 0.6167160551121539, '35000-39999': 0.6132509736808797, '40000-44999': 0.6123710558583031, '45000-49999': 0.5756745395967298, '50000-59999': 0.5758669428574088, '60000-74999': 0.5367339959297405, '75000-99999': 0.5362351675519929, '100000-124999': 0.4748545785088743, '125000-149999': 0.4749938891631642, '150000-199999': 0.4013825153828881, '200000-10000000': 0.4035929971303023}"
SD,"{'1000-9999': 0.9187134189790234, '10000-14999': 0.9558574986696526, '15000-19999': 0.973879070374626, '20000-24999': 0.973879070374626, '25000-29999': 0.8292333203689789, '30000-34999': 0.827816145110226, '35000-39999': 0.8364171168945286, '40000-44999': 0.828956670588874, '45000-49999': 0.8140424341026198, '50000-59999': 0.8112879977920412, '60000-74999': 0.6987417417902732, '75000-99999': 0.7025037969121377, '100000-124999': 0.6179677122544486, '125000-149999': 0.6204568473234542, '150000-199999': 0.5155584673597711, '200000-10000000': 0.515166159984896}"
TN,"{'1000-9999': 0.6624622813428434, '10000-14999': 0.6242606902030896, '15000-19999': 0.6231226032674169, '20000-24999': 0.6231226032674169, '25000-29999': 0.5779384871065629, '30000-34999': 0.5776684682969228, '35000-39999': 0.5768841975159221, '40000-44999': 0.5791039502782016, '45000-49999': 0.5426733724004511, '50000-59999': 0.5407793493626961, '60000-74999': 0.5036151737081953, '75000-99999': 0.5039570905580613, '100000-124999': 0.44806137871458224, '125000-149999': 0.4487828631073899, '150000-199999': 0.37591676941338215, '200000-10000000': 0.37811426183060026}"
TX,"{'1000-9999': 0.7221054742146699, '10000-14999': 0.673375582640111, '15000-19999': 0.6787926456472425, '20000-24999': 0.6787926456472425, '25000-29999': 0.6264022312815734, '30000-34999': 0.6247920523201568, '35000-39999': 0.6271372137100147, '40000-44999': 0.624692488513798, '45000-49999': 0.5861761098708503, '50000-59999': 0.5856840186392734, '60000-74999': 0.5461534908429092, '75000-99999': 0.5460749464093049, '100000-124999': 0.4840945539497388, '125000-149999': 0.48364608260384534, '150000-199999': 0.40599662671314984, '200000-10000000': 0.40814828755474314}"
UT,"{'1000-9999': 1.2403671484451384, '10000-14999': 1.2714107305461273, '15000-19999': 1.2573059025349362, '20000-24999': 1.2573059025349362, '25000-29999': 1.0507648523799962, '30000-34999': 1.0558763439206265, '35000-39999': 1.056020218879576, '40000-44999': 1.0490205199548568, '45000-49999': 0.9694940514867326, '50000-59999': 0.9708065664401628, '60000-74999': 0.887487917148693, '75000-99999': 0.889845993448978, '100000-124999': 0.8160029836733499, '125000-149999': 0.8168764949489843, '150000-199999': 0.7370060528700613, '200000-10000000': 0.738460470427714}"
VT,"{'1000-9999': 0.9729220583179504, '10000-14999': 1.0513841696079118, '15000-19999': 1.0431049322411547, '20000-24999': 1.0431049322411547, '25000-29999': 0.9743061793540649, '30000-34999': 0.9609191677460287, '35000-39999': 0.9638593127586961, '40000-44999': 0.9569780965028705, '45000-49999': 0.8887597999881348, '50000-59999': 0.8939907590027787, '60000-74999': 0.7711969451444822, '75000-99999': 0.7681445355977968, '100000-124999': 0.6957067042512232, '125000-149999': 0.700035750613456, '150000-199999': 0.6022742300321384, '200000-10000000': 0.6043884252397518}"
VA,"{'1000-9999': 0.6918288737127009, '10000-14999': 0.6392959110691523, '15000-19999': 0.6379562714562791, '20000-24999': 0.6379562714562791, '25000-29999': 0.5927542948479069, '30000-34999': 0.5873144911983015, '35000-39999': 0.5896227452054613, '40000-44999': 0.5918012515101935, '45000-49999': 0.5515888673078551, '50000-59999': 0.5517387652368824, '60000-74999': 0.513176556317351, '75000-99999': 0.514057485996895, '100000-124999': 0.4573172543607377, '125000-149999': 0.4587408360832978, '150000-199999': 0.38540865369311156, '200000-10000000': 0.38551642401669056}"
WA,"{'1000-9999': 0.9210140571282829, '10000-14999': 0.9335294558236064, '15000-19999': 0.930652926658675, '20000-24999': 0.930652926658675, '25000-29999': 0.7664689043144788, '30000-34999': 0.7755587000800109, '35000-39999': 0.7693572176857544, '40000-44999': 0.7781932594771935, '45000-49999': 0.7119879021423186, '50000-59999': 0.7144912577827414, '60000-74999': 0.6546550977400979, '75000-99999': 0.6523557178804373, '100000-124999': 0.6008755417697172, '125000-149999': 0.6008787356998425, '150000-199999': 0.542590502725901, '200000-10000000': 0.5394008932099138}"
WV,"{'1000-9999': 0.6233616920023106, '10000-14999': 0.5876992114033752, '15000-19999': 0.588741516542204, '20000-24999': 0.588741516542204, '25000-29999': 0.5451560418412232, '30000-34999': 0.5446884596745395, '35000-39999': 0.5443022818267413, '40000-44999': 0.5430610162660985, '45000-49999': 0.5130154918239108, '50000-59999': 0.5114470166343454, '60000-74999': 0.4749384916828643, '75000-99999': 0.4745204348356506, '100000-124999': 0.42208105182107075, '125000-149999': 0.4217539008570501, '150000-199999': 0.3552460113131431, '200000-10000000': 0.35726317051046524}"
WI,"{'1000-9999': 0.8372865413739474, '10000-14999': 0.8763288552849644, '15000-19999': 0.8818430771891231, '20000-24999': 0.8818430771891231, '25000-29999': 0.7635595047165328, '30000-34999': 0.7662497950461725, '35000-39999': 0.7622593104862503, '40000-44999': 0.7642488201713129, '45000-49999': 0.7473612277872748, '50000-59999': 0.7431516753592184, '60000-74999': 0.6446951366854101, '75000-99999': 0.6432608036108461, '100000-124999': 0.5675916689260192, '125000-149999': 0.5709664235268725, '150000-199999': 0.47420199585869816, '200000-10000000': 0.47488710916486876}"
WY,"{'1000-9999': 1.208659981545755, '10000-14999': 1.233079365514783, '15000-19999': 1.2428917660450756, '20000-24999': 1.2428917660450756, '25000-29999': 1.0433512778027794, '30000-34999': 1.032429166118838, '35000-39999': 1.038759386102019, '40000-44999': 1.033991376186639, '45000-49999': 0.947188477573582, '50000-59999': 0.9569099742129922, '60000-74999': 0.8722979309955134, '75000-99999': 0.8727702782871688, '100000-124999': 0.8005312356141971, '125000-149999': 0.8033668284074511, '150000-199999': 0.7233232762469654, '200000-10000000': 0.7219967339120101}"
