zip,state_code,group_id
91761,CA,1
91762,CA,1
91763,CA,1
91764,CA,1
91765,CA,1
91766,CA,1
91767,CA,1
91768,CA,1
91770,CA,1
91773,CA,1
91775,CA,1
91776,CA,1
91780,CA,1
91784,CA,1
91786,CA,1
91789,CA,1
91790,CA,1
91791,CA,1
91792,CA,1
91801,CA,1
91803,CA,1
91902,CA,1
91910,CA,1
91911,CA,1
91913,CA,1
91914,CA,1
91915,CA,1
91932,CA,1
91935,CA,1
91941,CA,1
91942,CA,1
91945,CA,1
91950,CA,1
91977,CA,1
91978,CA,1
92003,CA,1
92007,CA,1
92008,CA,1
92009,CA,1
92010,CA,1
92011,CA,1
92014,CA,1
92019,CA,1
92020,CA,1
92021,CA,1
92024,CA,1
92025,CA,1
92026,CA,1
92027,CA,1
92028,CA,1
92029,CA,1
92037,CA,1
92040,CA,1
92054,CA,1
92056,CA,1
92057,CA,1
92058,CA,1
92059,CA,1
92064,CA,1
92067,CA,1
92069,CA,1
92071,CA,1
92075,CA,1
92078,CA,1
92081,CA,1
92082,CA,1
92083,CA,1
92084,CA,1
92091,CA,1
92101,CA,1
92102,CA,1
92103,CA,1
92104,CA,1
92105,CA,1
92106,CA,1
92107,CA,1
92108,CA,1
92109,CA,1
92110,CA,1
92111,CA,1
92113,CA,1
92114,CA,1
92115,CA,1
92116,CA,1
92117,CA,1
92118,CA,1
92119,CA,1
92120,CA,1
92121,CA,1
92122,CA,1
92123,CA,1
92124,CA,1
92126,CA,1
92127,CA,1
92128,CA,1
92129,CA,1
92130,CA,1
92131,CA,1
92139,CA,1
92154,CA,1
92173,CA,1
92201,CA,1
92203,CA,1
92210,CA,1
92211,CA,1
92220,CA,1
92223,CA,1
92231,CA,1
92234,CA,1
92236,CA,1
92240,CA,1
92241,CA,1
92243,CA,1
92249,CA,1
92251,CA,1
92253,CA,1
92260,CA,1
92262,CA,1
92264,CA,1
92270,CA,1
92274,CA,1
92276,CA,1
92277,CA,1
92283,CA,1
92301,CA,1
92307,CA,1
92308,CA,1
92311,CA,1
92313,CA,1
92314,CA,1
92315,CA,1
92316,CA,1
92320,CA,1
92321,CA,1
92324,CA,1
92325,CA,1
92333,CA,1
92335,CA,1
92336,CA,1
92337,CA,1
92342,CA,1
92344,CA,1
92345,CA,1
92346,CA,1
92352,CA,1
92354,CA,1
92358,CA,1
92359,CA,1
92363,CA,1
92373,CA,1
92374,CA,1
92376,CA,1
92377,CA,1
92378,CA,1
92386,CA,1
92391,CA,1
92392,CA,1
92394,CA,1
