zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
35645,16.597718976221522,11569.151992900095,0.0,0.0,0.0,0.0,0.0
35660,16.53284110363334,11390.658061377497,0.0,0.0,0.0,0.0,0.0
35661,16.553170833477164,11491.792072822955,0.0,0.0,0.0,0.0,0.0
35671,16.600868517725022,11651.064804607824,0.0,0.0,0.0,0.0,0.0
35673,16.456532916514558,11486.353818223979,0.0,0.0,0.0,0.0,0.0
35674,16.54201755291085,11442.04993944879,0.0,0.0,0.0,0.0,0.0
35741,16.72772611272817,11440.423045893354,0.0,0.0,0.0,0.0,0.0
35748,16.69728869013862,11470.9344597376,0.0,0.0,0.0,0.0,0.0
35749,16.703817688589975,11522.49327276511,0.0,0.0,0.0,0.0,0.0
35750,16.735585922431508,11631.345421318309,0.0,0.0,0.0,0.0,0.0
35754,16.644658940796667,11474.04156973487,0.0,0.0,0.0,0.0,0.0
35756,16.625967652206466,11499.627944400612,0.0,0.0,0.0,0.0,0.0
35757,16.733658349173826,11593.60275764699,0.0,0.0,0.0,0.0,0.0
35758,16.661481701816538,11451.515608636784,0.0,0.0,0.0,0.0,0.0
35759,16.701147465647136,11470.937760287932,0.0,0.0,0.0,0.0,0.0
35761,16.736067643453,11562.455372047496,0.0,0.0,0.0,0.0,0.0
35763,16.734829184250938,11495.644328905097,0.0,0.0,0.0,0.0,0.0
35773,16.6775473431393,11631.967267802944,0.0,0.0,0.0,0.0,0.0
35775,16.69312622635655,11689.091136059335,0.0,0.0,0.0,0.0,0.0
35801,16.695965564969917,11466.67977271284,0.0,0.0,0.0,0.0,0.0
35802,16.734671639163235,11590.759908599495,0.0,0.0,0.0,0.0,0.0
35803,16.664942474133504,11494.23024996744,0.0,0.0,0.0,0.0,0.0
35805,16.701259991639557,11480.396882695168,0.0,0.0,0.0,0.0,0.0
35806,16.62724357924475,11423.632412385054,0.0,0.0,0.0,0.0,0.0
35808,16.648504240700788,11282.754427715392,0.0,0.0,0.0,0.0,0.0
35810,16.630410925140755,11539.774904164067,0.0,0.0,0.0,0.0,0.0
35811,16.628910797187924,11469.502227931447,0.0,0.0,0.0,0.0,0.0
35816,16.561979930400767,11352.084484270312,0.0,0.0,0.0,0.0,0.0
35824,16.697987885086654,11378.48749113288,0.0,0.0,0.0,0.0,0.0
35901,15.074104708812394,10840.259401506339,0.0,0.0,0.0,0.0,0.0
35903,15.192893147964348,11077.99233490914,0.0,0.0,0.0,0.0,0.0
35904,15.154905871051707,10998.667525169147,0.0,0.0,0.0,0.0,0.0
35905,15.191612764787584,11062.64974952053,0.0,0.0,0.0,0.0,0.0
35906,15.16211483158239,11041.443900910068,0.0,0.0,0.0,0.0,0.0
35950,16.371126400718268,11477.839125523848,0.0,0.0,0.0,0.0,0.0
35951,16.28263636065383,11350.885739882291,0.0,0.0,0.0,0.0,0.0
35954,15.118858022959097,10932.799199233436,0.0,0.0,0.0,0.0,0.0
35956,15.19431694896782,11089.121810842864,0.0,0.0,0.0,0.0,0.0
35957,15.023297206746742,10875.45117572492,0.0,0.0,0.0,0.0,0.0
