panels_1_years_-2000_incentive,panels_2_years_-2000_incentive,panels_3_years_-2000_incentive,panels_4_years_-2000_incentive,panels_5_years_-2000_incentive,zip
0,0,0,0,0,11798
0,0,0,0,0,11801
0,0,0,0,0,11803
0,0,0,0,0,11804
0,0,0,0,0,11901
0,0,0,0,0,11930
0,0,0,0,0,11932
0,0,0,0,0,11933
0,0,0,0,0,11934
0,0,0,0,0,11935
0,0,0,0,0,11937
0,0,0,0,0,11939
0,0,0,0,0,11940
0,0,0,0,0,11941
0,0,0,0,0,11942
0,0,0,0,0,11944
0,0,0,0,0,11946
0,0,0,0,0,11948
0,0,0,0,0,11949
0,0,0,0,0,11950
0,0,0,0,0,11951
0,0,0,0,0,11952
0,0,0,0,0,11953
0,0,0,0,0,11954
0,0,0,0,0,11955
0,0,0,0,0,11957
0,0,0,0,0,11958
0,0,0,0,0,11960
0,0,0,0,0,11962
0,0,0,0,0,11963
0,0,0,0,0,11964
0,0,0,0,0,11965
0,0,0,0,0,11967
0,0,0,0,0,11968
0,0,0,0,0,11971
0,0,0,0,0,11976
0,0,0,0,0,11977
0,0,0,0,0,11978
0,0,0,0,0,11980
0,0,0,0,0,12008
0,0,0,0,0,12009
0,0,79,369,6377,1201
0,0,0,0,0,12018
0,0,0,0,0,12019
0,0,0,0,0,12033
0,0,0,0,0,12047
0,0,0,0,0,12054
0,0,0,0,0,12056
0,0,0,0,0,12061
0,0,0,0,0,12063
0,0,0,0,0,12065
0,0,0,0,0,12067
0,0,0,0,0,12077
0,0,0,0,0,12084
0,0,0,0,0,12085
0,0,0,0,0,12110
0,0,0,0,0,12118
0,0,0,0,0,12121
0,0,0,0,0,12123
0,0,0,0,0,12140
0,0,0,0,0,12144
0,0,0,0,0,12148
0,0,0,0,0,12150
0,0,0,0,0,12154
0,0,0,0,0,12158
0,0,0,0,0,12159
0,0,0,0,0,12180
0,0,0,0,0,12182
0,0,0,0,0,12183
0,0,0,0,0,12186
0,0,0,0,0,12188
0,0,0,0,0,12189
0,0,0,0,0,12196
0,0,0,0,0,12198
0,0,0,0,0,12202
0,0,0,0,0,12203
0,0,0,0,0,12204
0,0,0,0,0,12205
0,0,0,0,0,12206
0,0,0,0,0,12207
0,0,0,0,0,12208
0,0,0,0,0,12209
0,0,0,0,0,12210
0,0,0,0,0,12211
0,0,0,0,0,12222
0,0,0,0,0,12302
0,0,0,0,0,12303
0,0,0,0,0,12304
0,0,0,0,0,12305
0,0,0,0,0,12306
0,0,0,0,0,12307
0,0,0,0,0,12308
0,0,0,0,0,12309
0,0,1,12,159,1237
0,0,0,1,33,1238
0,0,0,71,867,1240
0,0,0,0,0,12401
0,0,0,0,0,12411
0,0,0,0,0,12417
0,0,0,0,0,12419
0,0,0,0,0,12432
0,0,0,0,0,12440
0,0,0,0,0,12443
0,0,0,0,0,12449
0,0,0,0,0,12456
0,0,0,0,0,12466
0,0,0,0,0,12471
0,0,0,0,0,12472
0,0,0,0,0,12475
0,0,0,0,0,12477
0,0,0,0,0,12484
0,0,0,0,0,12486
0,0,0,0,0,12487
0,0,0,0,0,12498
0,0,0,0,0,12508
0,0,0,0,0,12512
0,0,0,0,0,12518
0,0,0,0,0,12520
0,0,0,0,0,12524
0,0,0,0,0,12525
0,0,0,0,0,12528
0,0,0,0,0,12533
0,0,0,0,0,12538
0,0,0,0,0,12542
0,0,0,0,0,12547
0,0,0,0,0,12548
0,0,0,0,0,12549
0,0,0,0,0,12550
0,0,0,0,0,12553
0,0,0,0,0,12561
0,0,0,0,0,12569
0,0,0,0,0,12572
0,0,0,0,0,12575
0,0,0,0,0,12577
0,0,0,0,0,12578
0,0,0,0,1,12580
0,0,0,0,0,12586
0,0,0,0,0,12589
0,0,0,0,0,12590
0,0,0,0,0,12601
0,0,0,0,0,12603
0,0,0,3,24,1266
0,0,0,0,0,12801
0,0,0,0,2,12803
0,0,0,0,0,12804
0,0,0,0,0,12827
0,0,0,0,0,12828
0,0,0,0,0,12831
0,0,0,0,0,12839
0,0,0,0,0,12845
0,0,0,0,0,12901
