zip,year,incentive,panels
11795,1,-2000,0
11796,1,-2000,0
11797,1,-2000,0
11798,1,-2000,0
11801,1,-2000,0
11803,1,-2000,0
11804,1,-2000,0
11901,1,-2000,0
11930,1,-2000,0
11932,1,-2000,0
11933,1,-2000,0
11934,1,-2000,0
11935,1,-2000,0
11937,1,-2000,0
11939,1,-2000,0
11940,1,-2000,0
11941,1,-2000,0
11942,1,-2000,0
11944,1,-2000,0
11946,1,-2000,0
11948,1,-2000,0
11949,1,-2000,0
11950,1,-2000,0
11951,1,-2000,0
11952,1,-2000,0
11953,1,-2000,0
11954,1,-2000,0
11955,1,-2000,0
11957,1,-2000,0
11958,1,-2000,0
11960,1,-2000,0
11962,1,-2000,0
11963,1,-2000,0
11964,1,-2000,0
11965,1,-2000,0
11967,1,-2000,0
11968,1,-2000,0
11971,1,-2000,0
11976,1,-2000,0
11977,1,-2000,0
11978,1,-2000,0
11980,1,-2000,0
12008,1,-2000,0
12009,1,-2000,0
1201,1,-2000,0
12018,1,-2000,0
12019,1,-2000,0
12033,1,-2000,0
12047,1,-2000,0
12054,1,-2000,0
12056,1,-2000,0
12061,1,-2000,0
12063,1,-2000,0
12065,1,-2000,0
12067,1,-2000,0
12077,1,-2000,0
12084,1,-2000,0
12085,1,-2000,0
12110,1,-2000,0
12118,1,-2000,0
12121,1,-2000,0
12123,1,-2000,0
12140,1,-2000,0
12144,1,-2000,0
12148,1,-2000,0
12150,1,-2000,0
12154,1,-2000,0
12158,1,-2000,0
12159,1,-2000,0
12180,1,-2000,0
12182,1,-2000,0
12183,1,-2000,0
12186,1,-2000,0
12188,1,-2000,0
12189,1,-2000,0
12196,1,-2000,0
12198,1,-2000,0
12202,1,-2000,0
12203,1,-2000,0
12204,1,-2000,0
12205,1,-2000,0
12206,1,-2000,0
12207,1,-2000,0
12208,1,-2000,0
12209,1,-2000,0
12210,1,-2000,0
12211,1,-2000,0
12222,1,-2000,0
12302,1,-2000,0
12303,1,-2000,0
12304,1,-2000,0
12305,1,-2000,0
12306,1,-2000,0
12307,1,-2000,0
12308,1,-2000,0
12309,1,-2000,0
1237,1,-2000,0
1238,1,-2000,0
1240,1,-2000,0
12401,1,-2000,0
12411,1,-2000,0
12417,1,-2000,0
12419,1,-2000,0
12432,1,-2000,0
12440,1,-2000,0
12443,1,-2000,0
12449,1,-2000,0
12456,1,-2000,0
12466,1,-2000,0
12471,1,-2000,0
12472,1,-2000,0
12475,1,-2000,0
12477,1,-2000,0
12484,1,-2000,0
12486,1,-2000,0
12487,1,-2000,0
12498,1,-2000,0
12508,1,-2000,0
12512,1,-2000,0
12518,1,-2000,0
12520,1,-2000,0
12524,1,-2000,0
12525,1,-2000,0
12528,1,-2000,0
12533,1,-2000,0
12538,1,-2000,0
12542,1,-2000,0
12547,1,-2000,0
12548,1,-2000,0
12549,1,-2000,0
12550,1,-2000,0
12553,1,-2000,0
12561,1,-2000,0
12569,1,-2000,0
12572,1,-2000,0
12575,1,-2000,0
12577,1,-2000,0
12578,1,-2000,0
12580,1,-2000,0
12586,1,-2000,0
12589,1,-2000,0
12590,1,-2000,0
12601,1,-2000,0
12603,1,-2000,0
1266,1,-2000,0
12801,1,-2000,0
12803,1,-2000,0
12804,1,-2000,0
12827,1,-2000,0
12828,1,-2000,0
