,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,hispanic_population,zcta
18269,3684,7,-666666666,4068,13,47,2768,644,9,275,53706
18270,49749,21955,98161,57472,4671,3169,38757,3295,119,4423,53711
18271,23366,11190,53452,35053,3939,2928,12894,879,277,6717,53713
18272,15983,7738,61487,36941,2465,1944,12120,582,20,1230,53714
18273,16072,5217,37392,22612,6243,497,13122,1758,14,794,53715
18274,18846,8389,86538,47533,1167,560,16455,742,0,761,53716
18275,12892,6210,95098,63359,660,1044,8937,2153,64,510,53717
18276,17788,7843,88405,48328,592,1991,13277,1201,10,826,53718
18277,33006,15207,90962,52622,1902,2260,23502,2702,18,3664,53719
18278,5457,2425,44911,50426,1871,36,4549,399,47,155,53726
18279,0,0,-666666666,-666666666,0,0,0,0,0,0,53792
18280,1034,424,57273,31907,121,8,987,0,0,157,53801
18281,134,29,66875,17842,9,0,134,0,0,0,53802
18282,1263,523,60156,29122,185,6,1183,0,3,65,53803
18283,1346,517,71563,32786,155,0,1310,5,0,10,53804
18284,5613,2111,54154,30524,844,318,5181,10,31,94,53805
18285,1604,774,58500,35786,170,0,1597,2,0,3,53806
18286,4315,1715,72107,36292,188,8,4201,4,2,109,53807
18287,936,391,65282,35729,35,0,906,0,0,43,53808
18288,4721,1734,63571,30996,874,0,4644,1,0,95,53809
18289,316,130,67727,32513,18,0,312,4,0,15,53810
18290,3197,1267,74476,39121,440,10,3123,0,0,18,53811
18291,311,112,102679,31887,0,0,311,0,0,0,53812
18292,6211,2325,78965,35974,355,18,6021,38,7,113,53813
18293,905,275,70179,24371,136,14,884,1,0,5,53816
18294,225,125,45250,22309,24,0,214,0,0,11,53817
18295,15712,5620,55938,28105,2893,518,14428,366,19,357,53818
18296,2314,933,69375,38172,133,7,2200,16,0,21,53820
18297,7714,3093,57271,32178,843,218,7078,2,26,184,53821
18298,468,185,75750,31516,71,0,455,4,0,9,53825
18299,1419,559,65104,28646,194,34,1340,0,1,11,53826
18300,361,141,67917,28403,53,0,356,0,0,1,53827
18301,14978,6004,67622,33094,1675,505,13179,73,91,894,53901
18302,3710,1512,46324,25497,700,32,3356,104,14,229,53910
18303,1433,535,97788,40859,18,5,1339,36,8,48,53911
18304,21346,9559,68335,36673,1819,208,19243,56,343,817,53913
18305,23045,10371,70716,40376,1204,488,20411,369,78,1610,53916
18306,2224,813,88826,39323,122,43,2029,8,0,91,53919
18307,477,213,81875,41791,12,0,390,0,0,35,53920
18308,1074,436,84929,42723,33,0,1068,0,0,6,53922
18309,2224,825,68750,35534,176,5,2111,2,0,181,53923
18310,1306,561,61563,30604,237,4,1265,9,10,12,53924
18311,8810,3608,80978,40886,567,100,8199,241,7,164,53925
18312,1871,612,57143,26961,391,9,1835,0,0,6,53926
18313,102,47,79375,37427,14,0,102,0,0,0,53928
18314,2856,1112,63284,31590,364,22,2737,9,5,12,53929
18315,1244,551,72344,35543,124,15,1064,1,0,142,53930
18316,339,131,67083,30132,85,0,308,0,0,19,53931
18317,2448,922,78929,34106,199,51,2119,36,1,178,53932
18318,3851,1278,77684,27986,261,442,3082,18,13,199,53933
18319,4206,2090,43188,30257,773,58,3925,7,11,134,53934
18320,261,106,73125,28038,11,0,251,0,0,16,53935
18321,1285,597,55729,33596,114,2,1194,6,29,134,53936
18322,1069,355,79306,29202,91,3,1045,1,0,20,53937
18323,302,118,75500,35859,13,0,302,0,0,0,53939
18324,0,0,-666666666,-666666666,0,0,0,0,0,0,53940
18325,3144,1196,77731,35449,235,12,2956,14,1,87,53941
18326,142,46,103500,35231,6,0,134,0,0,0,53942
18327,1284,423,73092,30080,103,5,1206,0,2,27,53943
18328,2478,980,67794,29942,338,17,2278,5,9,110,53944
18329,4174,1724,72000,38609,552,59,3878,0,2,266,53946
18330,350,122,47500,29268,149,0,344,0,0,5,53947
18331,8378,3319,59725,30315,1549,260,7525,89,59,234,53948
18332,6246,2795,58438,33125,531,21,5992,17,22,212,53949
18333,5419,2105,66180,30919,601,290,4683,20,24,183,53950
18334,2466,938,61957,31929,284,29,2233,4,3,252,53951
18335,3688,1279,60331,26641,481,322,3172,13,49,180,53952
18336,188,91,41042,22701,21,0,186,0,0,46,53953
18337,6782,2653,77094,39211,314,19,6426,54,13,157,53954
18338,5806,2381,95655,45051,269,96,5521,3,88,146,53955
18339,3035,1162,75600,33491,214,27,2840,10,0,131,53956
18340,14294,5566,71897,36694,1405,70,13171,14,30,1082,53959
18341,3219,1327,77031,39759,321,3,3129,0,2,65,53960
18342,922,389,76544,39662,55,6,857,0,0,0,53961
18343,25,19,-666666666,36376,5,0,21,0,2,0,53962
