zip,state_code,target_prop,group_id,group_incentive,pred_panels
37804,TN,7.3e-05,5,5000,122.10989010989012
37806,TN,3.6e-05,7,8000,18.753246753246753
37813,TN,5.6e-05,6,6500,104.1
37814,TN,5.25e-05,5,5000,155.2987012987013
37821,TN,5e-07,7,8000,0.025025025025025027
37830,TN,5.35e-05,5,5000,92.11588411588411
37840,TN,2.9e-05,7,8000,20.474949899799597
37846,TN,1.8e-05,7,8000,2.1197604790419162
37849,TN,5.75e-05,4,3500,107.371
37853,TN,6.75e-05,7,8000,48.93106893106893
37860,TN,7.55e-05,7,8000,9.083916083916085
37861,TN,2.5e-06,7,8000,0.165
37862,TN,4.05e-05,4,3500,91.88376753507013
37863,TN,3.1e-05,4,3500,68.86573146292585
37865,TN,7.45e-05,6,6500,193.32167832167835
37871,TN,5.05e-05,7,8000,4.903903903903904
37876,TN,4.55e-05,7,8000,47.810810810810814
37877,TN,0.0001135,7,8000,8.817817817817819
37885,TN,0.0001145,7,8000,21.241482965931866
37886,TN,5.25e-05,7,8000,15.393
37890,TN,7.6e-05,7,8000,7.5
37902,TN,5.15e-05,7,8000,25.098
37909,TN,4.55e-05,6,6500,80.598
37912,TN,4.85e-05,5,5000,74.569
37914,TN,0.000156,7,8000,180.36236236236238
37915,TN,0.0001605,7,8000,149.82682682682685
37916,TN,2.6e-05,6,6500,58.735264735264735
37917,TN,6.9e-05,5,5000,198.76500000000001
37918,TN,5.75e-05,5,5000,160.14000000000001
37919,TN,6.55e-05,5,5000,85.48
37920,TN,4.45e-05,3,2000,128.31968031968034
37921,TN,9.4e-05,5,5000,242.04204204204203
37922,TN,0.0001925,6,6500,251.22222222222223
37923,TN,5.5e-05,6,6500,154.58917835671343
37924,TN,7.15e-05,7,8000,65.44088176352706
37931,TN,9.3e-05,5,5000,242.514
37932,TN,0.0001385,7,8000,297.1501501501501
37934,TN,0.0001845,6,6500,353.4465534465534
37938,TN,6.4e-05,6,6500,75.67032967032968
38002,TN,0.0003255,7,8000,560.7442326980943
38016,TN,0.00054,7,8000,324.6126126126126
38017,TN,0.000101,6,6500,175.73573573573574
38018,TN,0.000178,6,6500,482.84784784784785
38028,TN,0.00013,7,8000,26.753246753246753
38053,TN,0.0001585,7,8000,83.06706706706707
38103,TN,0.000131,7,8000,108.97102897102897
38104,TN,0.000143,7,8000,216.88688688688688
38105,TN,0.0001495,7,8000,109.0909090909091
38106,TN,0.001383,7,8000,468.5911823647295
38107,TN,0.000762,7,8000,341.20799999999997
38108,TN,0.0001185,6,6500,254.55633100697906
38109,TN,0.0013925,7,8000,614.04
38111,TN,0.000278,7,8000,366.4835164835165
38112,TN,0.000128,6,6500,320.185370741483
38114,TN,0.0011905,7,8000,547.0809190809191
38115,TN,0.001131,7,8000,446.614
38116,TN,0.001576,7,8000,414.93506493506493
38117,TN,0.0001375,7,8000,246.12774451097806
38118,TN,0.0011895,7,8000,456.7912087912088
38119,TN,0.0005415,7,8000,349.445
38120,TN,7.05e-05,6,6500,81.522
38122,TN,9.65e-05,7,8000,191.2545090180361
38125,TN,0.0020335,7,8000,157.56513026052104
38126,TN,0.000688,7,8000,107.11377245508983
38127,TN,0.000797,7,8000,557.0229770229771
38128,TN,0.0007845,7,8000,369.2352352352353
38133,TN,0.0003055,7,8000,168.38400000000001
38134,TN,0.0003615,7,8000,249.41799999999998
38135,TN,0.0003385,7,8000,341.64
38138,TN,0.0002345,7,8000,459.5855855855856
38139,TN,0.0005845,7,8000,481.31199999999995
38141,TN,0.0030665,7,8000,106.51151151151151
38301,TN,0.000271,7,8000,483.0479520479521
38305,TN,0.0002045,6,6500,483.804
38343,TN,0.0001325,7,8000,19.57157157157157
38355,TN,7.05e-05,7,8000,5.922000000000001
38356,TN,5e-06,7,8000,0.2197802197802198
38362,TN,0.000106,7,8000,9.981981981981981
38401,TN,9.95e-05,7,8000,206.22
38501,TN,3.7e-05,4,3500,77.58
38506,TN,5.1e-05,7,8000,51.22377622377623
75001,TX,7.95e-05,6,6500,151.44155844155844
75002,TX,0.0001295,2,500,318.42
75006,TX,5.95e-05,2,500,128.3843843843844
75007,TX,7.95e-05,1,-1000,113.792
75010,TX,0.0001015,2,500,224.368
75013,TX,0.0002135,2,500,333.12224448897797
75019,TX,0.000172,2,500,366.6083916083916
75020,TX,2.75e-05,0,-2000,132.987987987988
75021,TX,2.2e-05,5,5000,39.650349650349646
75022,TX,0.000357,3,2000,711.6943056943057
75023,TX,6.85e-05,0,-2000,159.445
75024,TX,0.00011,2,500,255.07807807807808
75025,TX,0.0001405,1,-1000,450.53746253746255
75028,TX,0.00018,1,-1000,537.6646706586827
75032,TX,7e-06,7,8000,5.152
75033,TX,1.9e-05,7,8000,17.48303393213573
75034,TX,8.7e-05,0,-2000,166.2917082917083
75035,TX,0.000236,2,500,387.92307692307696
75038,TX,0.000107,6,6500,176.15584415584416
75039,TX,9.25e-05,5,5000,207.75275275275274
75040,TX,3.85e-05,0,-2000,89.01598401598402
75041,TX,3.05e-05,2,500,61.306693306693305
75042,TX,3.65e-05,0,-2000,96.95604395604397
75043,TX,4.95e-05,0,-2000,147.9071856287425
75044,TX,5.8e-05,1,-1000,158.99299299299298
75048,TX,0.0001615,2,500,256.9270729270729
75050,TX,7.15e-05,3,2000,161.93806193806194
75051,TX,3.15e-05,0,-2000,129.250501002004
75052,TX,0.000114,0,-2000,190.82751744765702
75054,TX,0.0009615,7,8000,1618.6213786213787
75056,TX,9.8e-05,0,-2000,121.952
75057,TX,5.35e-05,5,5000,123.333
75060,TX,2.4e-05,0,-2000,47.16216216216216
75061,TX,2.9e-05,0,-2000,57.6046046046046
75062,TX,4.05e-05,2,500,80.586
75063,TX,0.0001275,3,2000,297.783
75065,TX,5.5e-05,3,2000,127.64500000000001
75067,TX,5.45e-05,0,-2000,142.332
75068,TX,0.0001755,2,500,407.23876123876124
75069,TX,4.15e-05,0,-2000,89.11311311311312
75070,TX,7.8e-05,2,500,138.026
75074,TX,6e-05,0,-2000,225.44589178356713
75075,TX,5.4e-05,0,-2000,65.22522522522523
75076,TX,2.65e-05,6,6500,33.16516516516516
75077,TX,0.000107,2,500,206.93106893106892
75080,TX,4.55e-05,0,-2000,323.13
75081,TX,9.1e-05,1,-1000,160.064
75082,TX,9.1e-05,1,-1000,234.14428857715433
75087,TX,9e-05,7,8000,119.8557114228457
75088,TX,0.0001,2,500,259.896
75089,TX,0.000257,3,2000,584.2722722722723
75090,TX,3.3e-05,0,-2000,92.02404809619239
75092,TX,2.65e-05,2,500,53.442557442557444
75093,TX,0.000116,1,-1000,162.288
75094,TX,0.0002615,4,3500,648.985014985015
75098,TX,0.000123,2,500,280.2962962962963
75104,TX,0.000255,2,500,619.08
75115,TX,0.0003905,6,6500,752.679
75116,TX,4.25e-05,3,2000,101.61676646706587
75125,TX,7.5e-06,7,8000,4.6706586826347305
75134,TX,0.000299,6,6500,237.58441558441558
75137,TX,0.0001205,3,2000,268.05194805194805
75141,TX,9.05e-05,6,6500,88.97795591182366
75146,TX,0.0003125,6,6500,318.34565434565434
75149,TX,5.4e-05,0,-2000,199.62874251497007
75150,TX,4.3e-05,2,500,58.994994994995
75159,TX,4.55e-05,6,6500,35.351
75172,TX,7.4e-05,6,6500,275.02502502502506
75180,TX,5e-05,3,2000,103.17182817182818
75181,TX,0.00024,6,6500,306.12587412587413
75182,TX,0.0002935,6,6500,421.728
75201,TX,5.65e-05,6,6500,70.21756487025948
75202,TX,5.8e-05,7,8000,43.315999999999995
75203,TX,4.95e-05,3,2000,114.32432432432432
75204,TX,6.05e-05,2,500,138.198
75205,TX,0.0003,3,2000,756.5531062124248
75206,TX,4.3e-05,1,-1000,67.116
75207,TX,0.000181,7,8000,392.7122877122877
75208,TX,3.35e-05,0,-2000,93.03703703703704
75209,TX,0.000101,2,500,260.172
75210,TX,6.35e-05,6,6500,94.74074074074073
75211,TX,2.5e-05,0,-2000,205.38738738738738
75212,TX,4.85e-05,0,-2000,224.89
75214,TX,6.7e-05,1,-1000,84.993993993994
75215,TX,0.0001565,6,6500,277.355
75216,TX,5.95e-05,0,-2000,340.844
75217,TX,2.4e-05,0,-2000,339.01998001998
75218,TX,4.85e-05,1,-1000,14.02002002002002
75219,TX,5.05e-05,2,500,111.83999999999999
75220,TX,2.85e-05,0,-2000,27.212787212787212
75223,TX,3.3e-05,2,500,70.992
75224,TX,3.85e-05,0,-2000,86.83366733466934
75225,TX,0.0002645,3,2000,448.28999999999996
75226,TX,7.2e-05,6,6500,235.372
75227,TX,4.6e-05,0,-2000,136.653
75228,TX,3e-05,0,-2000,284.93506493506493
75229,TX,9.2e-05,1,-1000,264.596
75230,TX,6.95e-05,2,500,157.42771684945163
75231,TX,3.75e-05,2,500,67.31462925851703
75232,TX,9.5e-05,0,-2000,188.77054108216433
75233,TX,6.5e-05,6,6500,93.14685314685315
75234,TX,5.15e-05,2,500,68.70611835506519
75235,TX,4.25e-05,2,500,82.59081836327346
75236,TX,9.5e-05,5,5000,192.90990990990989
75237,TX,0.0003225,7,8000,811.3903903903904
75238,TX,5.05e-05,1,-1000,47.012
75240,TX,3.25e-05,1,-1000,86.691
75241,TX,0.000154,1,-1000,310.99800000000005
75243,TX,8.8e-05,0,-2000,187.35129740518963
75244,TX,0.0001135,3,2000,266.77245508982037
75246,TX,2.95e-05,6,6500,32.253493013972054
75247,TX,6.4e-05,5,5000,121.06493506493507
75248,TX,5.9e-05,1,-1000,88.29
75249,TX,0.000173,6,6500,117.68537074148297
75251,TX,7.65e-05,7,8000,52.83783783783784
75252,TX,4.35e-05,0,-2000,91.904
75253,TX,2.35e-05,0,-2000,139.77422577422578
75254,TX,5.55e-05,5,5000,104.51448551448551
75287,TX,4.9e-05,0,-2000,121.056
75459,TX,2.85e-05,6,6500,37.336
75501,TX,0.000115,0,-2000,272.8571428571429
75503,TX,0.0001135,3,2000,285.72754491017963
75569,TX,0.0002165,7,8000,3.279279279279279
75601,TX,8.15e-05,4,3500,153.53293413173654
75602,TX,0.000157,5,5000,345.016
75603,TX,0.000224,7,8000,104.33033033033033
75604,TX,0.000104,4,3500,172.018018018018
75605,TX,0.0001075,3,2000,202.008
