,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
303,0.8,0.8,0.0,-1.2000000000000002,423030.88027472526,2542857604.9995,0.3740559549288536,0.1442524970492749
325,0.8,1.2000000000000002,0.0,0.0,384319.938688514,2729681802.484235,0.36466516079960143,0.14144585465111614
326,0.8,1.2000000000000002,0.0,-0.4,378282.14143913204,2737601447.759439,0.3688725981089107,0.1420384174048217
350,0.8,1.6,0.0,0.0,376268.1829703197,2746768635.432607,0.38040070586828123,0.1419806468785112
351,0.8,1.6,0.0,-0.4,374196.48033374106,2746970750.075228,0.38408874300952367,0.1424654575658595
375,1.2000000000000002,0.0,0.0,0.0,506228.30405929044,2112301851.2344556,0.4036627884471773,0.14554101998460522
400,1.2000000000000002,0.4,0.0,0.0,500039.1442748736,2226684510.662995,0.3856367467983861,0.1438977076448471
425,1.2000000000000002,0.8,0.0,0.0,488838.1921302833,2314542644.1919403,0.37699646357113514,0.144070626698811
426,1.2000000000000002,0.8,0.0,-0.4,473606.1925551761,2369893579.241951,0.3796409470050881,0.144922905522179
450,1.2000000000000002,1.2000000000000002,0.0,0.0,412054.0195923927,2646410939.6759524,0.37833835015092787,0.14473335374517915
452,1.2000000000000002,1.2000000000000002,0.0,-0.8,414782.63293091126,2608522704.1421237,0.3848301302708117,0.14584350818963743
453,1.2000000000000002,1.2000000000000002,0.0,-1.2000000000000002,416012.2320330002,2592351189.997265,0.3875935344908492,0.14596419686403594
454,1.2000000000000002,1.2000000000000002,0.0,-1.6,421118.1086484055,2556754860.4458656,0.39021771701466457,0.1459750678883538
455,1.2000000000000002,1.2000000000000002,0.4,0.0,441796.0084980249,2482705943.517899,0.3923068752949841,0.14718295872994136
475,1.2000000000000002,1.6,0.0,0.0,390516.67807129835,2714057921.16366,0.38963515347087996,0.14639960359314186
476,1.2000000000000002,1.6,0.0,-0.4,380715.02000189695,2733995655.427619,0.3926365368000464,0.1469707826764115
479,1.2000000000000002,1.6,0.0,-1.6,394436.22221160535,2674859772.6759396,0.40049470273620447,0.14750268166893732
480,1.2000000000000002,1.6,0.4,0.0,400019.345376851,2668281119.740868,0.4030046420735316,0.14862638323092003
481,1.2000000000000002,1.6,0.4,-0.4,400446.83979990147,2651051799.266056,0.4054313043837845,0.1491140019602204
500,1.6,0.0,0.0,0.0,506228.30405929044,2112301851.2344556,0.4074039715280733,0.1500305889542617
525,1.6,0.4,0.0,0.0,502146.93651455216,2200920787.9456573,0.39522301428319784,0.1497712979336252
550,1.6,0.8,0.0,0.0,493271.3801981997,2286422718.3864427,0.38913616622808855,0.1506903635032102
551,1.6,0.8,0.0,-0.4,495343.45824305044,2254470460.885611,0.39103426426285504,0.15161689035616854
575,1.6,1.2000000000000002,0.0,0.0,465373.5627795212,2432546929.6296983,0.38936085066750836,0.1526007668394056
576,1.6,1.2000000000000002,0.0,-0.4,461703.95339295384,2437645791.277831,0.39140894126146386,0.15332647378449726
600,1.6,1.6,0.0,0.0,412054.0195923927,2646410939.6759524,0.39696213437394223,0.1551792040407498
601,1.6,1.6,0.0,-0.4,412718.62249959505,2636123616.722472,0.3995479102272719,0.15591834061883025
602,1.6,1.6,0.0,-0.8,413678.0951434407,2617350011.639184,0.40190522913597126,0.15626555644019535
603,1.6,1.6,0.0,-1.2000000000000002,415191.2115214637,2604426370.813216,0.4041176178423198,0.15645972905978778
604,1.6,1.6,0.0,-1.6,416012.2320330002,2592351189.997265,0.4061625798755415,0.1565384549365656
605,1.6,1.6,0.4,0.0,435959.0007518615,2539011900.747556,0.4080596154321825,0.15761041558818611
